name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Gonzalo Jose Roldan;heavy;34;Argentina;12;40;100%;;;orthodox;"debut
        2017-03-03";1;9;2;1 KOs;5 KOs
Luis Rodriguez Aguilar;heavy;29;Mexico;48;183;0%;;;southpaw;"debut
        2011-10-16";8;37;3;0 KOs;19 KOs
Dwight Gipson;heavy;34;USA;16;49;50%;6′ 1″   /   185cm;;orthodox;"debut
        2014-03-01";4;12;0;2 KOs;10 KOs
David Gegeshidze;heavy;43;Georgia;36;135;18.18%;6′ 3½″   /   192cm;;orthodox;"debut
        2006-05-28";11;24;1;2 KOs;19 KOs
;;;;;;;;;;;;;;;
David Gegeshidze;heavy;43;Georgia;36;135;18.18%;6′ 3½″   /   192cm;;orthodox;"debut
        2006-05-28";11;24;1;2 KOs;19 KOs
;;;;;;;;;;;;;;;
Admir Oglic;heavy;32;Bosnia And Herzegovina;26;109;75%;6′ 5″   /   195cm;;;"debut
        2019-04-06";4;22;0;3 KOs;5 KOs
;;;;;;;;;;;;;;;
Admir Oglic;heavy;32;Bosnia And Herzegovina;26;109;75%;6′ 5″   /   195cm;;;"debut
        2019-04-06";4;22;0;3 KOs;5 KOs
;;;;;;;;;;;;;;;
Carlos Brandon Ortega Taylor;heavy;28;USA;3;13;0%;5′ 7″   /   170cm;;orthodox;"debut
        2024-05-25";2;1;0;0 KOs;0 KOs
;;;;;;;;;;;;;;;
Carlos Brandon Ortega Taylor;heavy;28;USA;3;13;0%;5′ 7″   /   170cm;;orthodox;"debut
        2024-05-25";2;1;0;0 KOs;0 KOs
;;;;;;;;;;;;;;;
Marino Mercado Velasco;heavy;35;Mexico;31;97;50%;5′ 8½″   /   174cm;;orthodox;"debut
        2008-04-26";8;21;2;4 KOs;18 KOs
;;;;;;;;;;;;;;;
Marino Mercado Velasco;heavy;35;Mexico;31;97;50%;5′ 8½″   /   174cm;;orthodox;"debut
        2008-04-26";8;21;2;4 KOs;18 KOs
;;;;;;;;;;;;;;;
Julius Bukai;heavy;40;Slovakia;5;9;100%;;;;"debut
        2023-12-09";3;2;0;3 KOs;2 KOs
;;;;;;;;;;;;;;;
Julius Bukai;heavy;40;Slovakia;5;9;100%;;;;"debut
        2023-12-09";3;2;0;3 KOs;2 KOs
;;;;;;;;;;;;;;;
Deane Williams;heavy;38;USA;6;12;0%;6′ 6″   /   198cm;;orthodox;"debut
        2014-10-24";0;5;1;0 KOs;5 KOs
;;;;;;;;;;;;;;;
Deane Williams;heavy;38;USA;6;12;0%;6′ 6″   /   198cm;;orthodox;"debut
        2014-10-24";0;5;1;0 KOs;5 KOs
;;;;;;;;;;;;;;;
Awumey Nelson;heavy;30;Ghana;3;4;100%;;;orthodox;"debut
        2023-12-30";3;0;0;3 KOs;0 KOs
;;;;;;;;;;;;;;;
Awumey Nelson;heavy;30;Ghana;3;4;100%;;;orthodox;"debut
        2023-12-30";3;0;0;3 KOs;0 KOs
;;;;;;;;;;;;;;;
Antonio Martinez;heavy;33;Mexico;5;8;75%;6′ 0″   /   183cm;;orthodox;"debut
        2023-12-08";4;1;0;3 KOs;1 KOs
;;;;;;;;;;;;;;;
Antonio Martinez;heavy;33;Mexico;5;8;75%;6′ 0″   /   183cm;;orthodox;"debut
        2023-12-08";4;1;0;3 KOs;1 KOs
;;;;;;;;;;;;;;;
Ty'Rek Wells;heavy;28;USA;1;4;0%;6′ 3″   /   191cm;;orthodox;"debut
        2024-09-13";1;0;0;0 KOs;0 KOs
Vincenzo Anzalone;heavy;36;Germany;22;82;100%;5′ 9½″   /   177cm;;;"debut
        2017-10-08";1;20;1;1 KOs;7 KOs
Ty'Rek Wells;heavy;28;USA;1;4;0%;6′ 3″   /   191cm;;orthodox;"debut
        2024-09-13";1;0;0;0 KOs;0 KOs
Vincenzo Anzalone;heavy;36;Germany;22;82;100%;5′ 9½″   /   177cm;;;"debut
        2017-10-08";1;20;1;1 KOs;7 KOs
Igor Suvacarev;heavy;34;Serbia;7;16;0%;;;;"debut
        2021-11-07";0;7;0;0 KOs;5 KOs
Jeff King;heavy;46;Australia;14;55;0%;;;;"debut
        2017-07-08";2;8;4;0 KOs;6 KOs
Igor Suvacarev;heavy;34;Serbia;7;16;0%;;;;"debut
        2021-11-07";0;7;0;0 KOs;5 KOs
Jeff King;heavy;46;Australia;14;55;0%;;;;"debut
        2017-07-08";2;8;4;0 KOs;6 KOs
Avtandil Mdinaradze;heavy;18;Georgia;1;2;100%;;;;"debut
        2024-03-16";1;0;0;1 KOs;0 KOs
Hasan Kurnaz;heavy;36;Germany;26;56;100%;5′ 6½″   /   169cm;;;"debut
        2014-09-19";8;18;0;8 KOs;17 KOs
Avtandil Mdinaradze;heavy;18;Georgia;1;2;100%;;;;"debut
        2024-03-16";1;0;0;1 KOs;0 KOs
Hasan Kurnaz;heavy;36;Germany;26;56;100%;5′ 6½″   /   169cm;;;"debut
        2014-09-19";8;18;0;8 KOs;17 KOs
Rakim Cleveland;heavy;35;USA;1;1;100%;6′ 3″   /   191cm;77″   /   196cm;;"debut
        2024-03-16";1;0;0;1 KOs;0 KOs
Dewayne McQueen;heavy;44;USA;9;9;100%;6′ 3″   /   191cm;;;"debut
        2020-02-29";3;6;0;3 KOs;6 KOs
Rakim Cleveland;heavy;35;USA;1;1;100%;6′ 3″   /   191cm;77″   /   196cm;;"debut
        2024-03-16";1;0;0;1 KOs;0 KOs
Dewayne McQueen;heavy;44;USA;9;9;100%;6′ 3″   /   191cm;;;"debut
        2020-02-29";3;6;0;3 KOs;6 KOs
Moustafa Moustafa;heavy;27;Germany;3;6;0%;;;;"debut
        2023-03-18";1;2;0;0 KOs;2 KOs
Jesse Hayward;heavy;25;USA;3;12;0%;6′ 2″   /   188cm;;orthodox;"debut
        2024-02-17";2;1;0;0 KOs;0 KOs
Moustafa Moustafa;heavy;27;Germany;3;6;0%;;;;"debut
        2023-03-18";1;2;0;0 KOs;2 KOs
Jesse Hayward;heavy;25;USA;3;12;0%;6′ 2″   /   188cm;;orthodox;"debut
        2024-02-17";2;1;0;0 KOs;0 KOs
David Koswara;heavy;47;Indonesia;32;197;33.33%;;;orthodox;"debut
        1999-02-06";12;18;2;4 KOs;12 KOs
Lee Carter;heavy;41;United Kingdom;7;16;50%;;;orthodox;"debut
        2016-09-17";2;5;0;1 KOs;4 KOs
David Koswara;heavy;47;Indonesia;32;197;33.33%;;;orthodox;"debut
        1999-02-06";12;18;2;4 KOs;12 KOs
Lee Carter;heavy;41;United Kingdom;7;16;50%;;;orthodox;"debut
        2016-09-17";2;5;0;1 KOs;4 KOs
Thomas Vinther;heavy;25;Denmark;1;2;100%;6′ 10½″   /   210cm;;;"debut
        2023-12-09";1;0;0;1 KOs;0 KOs
Michael Sunkett;heavy;35;USA;15;25;100%;5′ 10″   /   178cm;;orthodox;"debut
        2009-12-11";1;14;0;1 KOs;12 KOs
Thomas Vinther;heavy;25;Denmark;1;2;100%;6′ 10½″   /   210cm;;;"debut
        2023-12-09";1;0;0;1 KOs;0 KOs
Michael Sunkett;heavy;35;USA;15;25;100%;5′ 10″   /   178cm;;orthodox;"debut
        2009-12-11";1;14;0;1 KOs;12 KOs
Edier Corredor;heavy;35;Colombia;18;77;33.33%;;;;"debut
        2021-08-27";3;14;1;1 KOs;8 KOs
Tunde Azeez;heavy;40;Nigeria;7;17;0%;;;;"debut
        2019-09-20";0;6;1;0 KOs;6 KOs
Edier Corredor;heavy;35;Colombia;18;77;33.33%;;;;"debut
        2021-08-27";3;14;1;1 KOs;8 KOs
Tunde Azeez;heavy;40;Nigeria;7;17;0%;;;;"debut
        2019-09-20";0;6;1;0 KOs;6 KOs
Rauf Tofighzadeh;heavy;29;Germany;4;11;100%;;;;"debut
        2021-03-19";1;3;0;1 KOs;3 KOs
Jesse Cartwright;heavy;37;Canada;2;5;50%;5′ 10″   /   178cm;;;"debut
        2023-07-15";2;0;0;1 KOs;0 KOs
Rauf Tofighzadeh;heavy;29;Germany;4;11;100%;;;;"debut
        2021-03-19";1;3;0;1 KOs;3 KOs
Jesse Cartwright;heavy;37;Canada;2;5;50%;5′ 10″   /   178cm;;;"debut
        2023-07-15";2;0;0;1 KOs;0 KOs
Salum Habibu;heavy;34;Tanzania;8;19;100%;;;southpaw;"debut
        2016-07-06";2;4;2;2 KOs;3 KOs
Prakob Chaiman;heavy;44;Thailand;7;10;0%;6′ 2½″   /   189cm;74″   /   188cm;orthodox;"debut
        2016-07-30";0;7;0;0 KOs;7 KOs
Salum Habibu;heavy;34;Tanzania;8;19;100%;;;southpaw;"debut
        2016-07-06";2;4;2;2 KOs;3 KOs
Prakob Chaiman;heavy;44;Thailand;7;10;0%;6′ 2½″   /   189cm;74″   /   188cm;orthodox;"debut
        2016-07-30";0;7;0;0 KOs;7 KOs
Jesse Davis;heavy;30;USA;2;4;100%;;;;"debut
        2024-06-01";2;0;0;2 KOs;0 KOs
Dimitri Lamborelle;heavy;26;Belgium;4;16;0%;;;;"debut
        2017-11-18";4;0;0;0 KOs;0 KOs
Jesse Davis;heavy;30;USA;2;4;100%;;;;"debut
        2024-06-01";2;0;0;2 KOs;0 KOs
Dimitri Lamborelle;heavy;26;Belgium;4;16;0%;;;;"debut
        2017-11-18";4;0;0;0 KOs;0 KOs
Brandon Conley;heavy;35;USA;2;6;100%;5′ 9″   /   175cm;;orthodox;"debut
        2023-12-09";1;0;1;1 KOs;0 KOs
Vitaliy Tatarchuk;heavy;34;Ukraine;5;11;100%;;;;"debut
        2021-08-26";3;2;0;3 KOs;1 KOs
Brandon Conley;heavy;35;USA;2;6;100%;5′ 9″   /   175cm;;orthodox;"debut
        2023-12-09";1;0;1;1 KOs;0 KOs
Vitaliy Tatarchuk;heavy;34;Ukraine;5;11;100%;;;;"debut
        2021-08-26";3;2;0;3 KOs;1 KOs
Chris Miles;heavy;31;USA;1;1;100%;;;;"debut
        2024-08-16";1;0;0;1 KOs;0 KOs
Reagan Apanu;heavy;23;Democratic Republic Of The Congo;1;3;100%;;;;"debut
        2024-06-28";1;0;0;1 KOs;0 KOs
Chris Miles;heavy;31;USA;1;1;100%;;;;"debut
        2024-08-16";1;0;0;1 KOs;0 KOs
Reagan Apanu;heavy;23;Democratic Republic Of The Congo;1;3;100%;;;;"debut
        2024-06-28";1;0;0;1 KOs;0 KOs
Leonel Naranjo;heavy;22;Colombia;6;14;0%;;;;"debut
        2022-02-05";0;6;0;0 KOs;5 KOs
Ritchie Cherry;heavy;37;USA;18;37;33.33%;5′ 11″   /   180cm;;orthodox;"debut
        2010-09-30";3;14;0;1 KOs;13 KOs
Leonel Naranjo;heavy;22;Colombia;6;14;0%;;;;"debut
        2022-02-05";0;6;0;0 KOs;5 KOs
Ritchie Cherry;heavy;37;USA;18;37;33.33%;5′ 11″   /   180cm;;orthodox;"debut
        2010-09-30";3;14;0;1 KOs;13 KOs
Francois Russell;heavy;32;USA;46;144;100%;5′ 9″   /   175cm;;orthodox;"debut
        2011-11-05";3;42;0;3 KOs;30 KOs
Nizami Mammadov;heavy;40;Azerbaijan;3;5;100%;;;;"debut
        2023-04-07";3;0;0;3 KOs;0 KOs
Francois Russell;heavy;32;USA;46;144;100%;5′ 9″   /   175cm;;orthodox;"debut
        2011-11-05";3;42;0;3 KOs;30 KOs
Nizami Mammadov;heavy;40;Azerbaijan;3;5;100%;;;;"debut
        2023-04-07";3;0;0;3 KOs;0 KOs
Jesus Paez Huerta;heavy;37;Mexico;19;42;77.78%;;;;"debut
        2015-11-20";9;10;0;7 KOs;9 KOs
Lui Te'o;heavy;34;New Zealand;21;66;100%;5′ 9″   /   175cm;;;"debut
        2016-09-10";2;18;1;2 KOs;12 KOs
Jesus Paez Huerta;heavy;37;Mexico;19;42;77.78%;;;;"debut
        2015-11-20";9;10;0;7 KOs;9 KOs
Lui Te'o;heavy;34;New Zealand;21;66;100%;5′ 9″   /   175cm;;;"debut
        2016-09-10";2;18;1;2 KOs;12 KOs
Cristian Uwaka;heavy;39;United Kingdom;5;20;100%;;;;"debut
        2024-02-24";1;4;0;1 KOs;1 KOs
Jonathan Abeyta;heavy;30;USA;5;15;50%;5′ 8″   /   173cm;;orthodox;"debut
        2021-08-07";2;2;1;1 KOs;1 KOs
Cristian Uwaka;heavy;39;United Kingdom;5;20;100%;;;;"debut
        2024-02-24";1;4;0;1 KOs;1 KOs
Jonathan Abeyta;heavy;30;USA;5;15;50%;5′ 8″   /   173cm;;orthodox;"debut
        2021-08-07";2;2;1;1 KOs;1 KOs
Olimpo Cespedes;heavy;35;Colombia;10;38;100%;;;;"debut
        2023-04-23";2;8;0;2 KOs;5 KOs
Petr Frohlich;heavy;36;Czech Republic;40;143;50%;;;;"debut
        2015-06-13";2;37;1;1 KOs;16 KOs
Tobie Vermeire;heavy;32;United Kingdom;5;11;0%;;;;"debut
        2023-10-28";0;4;1;0 KOs;4 KOs
Jan Hrebik;heavy;33;Czech Republic;43;70;100%;6′ 4½″   /   194cm;;orthodox;"debut
        2017-05-14";4;39;0;4 KOs;37 KOs
Robert Tenorio;heavy;43;USA;2;4;100%;5′ 10″   /   178cm;;southpaw;"debut
        2023-08-26";1;1;0;1 KOs;1 KOs
Christian Martinez Cortes;heavy;38;Mexico;7;10;0%;;;;"debut
        2015-02-28";0;7;0;0 KOs;7 KOs
Todor Zecevic;heavy;28;Montenegro;1;1;100%;;;;"debut
        2024-10-08";1;0;0;1 KOs;0 KOs
Hannes Brunne;heavy;;Germany;2;2;100%;;;;"debut
        2024-10-12";2;0;0;2 KOs;0 KOs
Hrvoje Bozinovic;heavy;35;Croatia;37;120;33.33%;6′ 0″   /   183cm;;;"debut
        2010-07-25";3;34;0;1 KOs;18 KOs
Marek Harmak;heavy;29;Poland;1;4;0%;6′ 1½″   /   187cm;75½″   /   192cm;orthodox;"debut
        2024-02-10";1;0;0;0 KOs;0 KOs
Jamal Marquise Anthon;heavy;33;USA;1;2;100%;;;;"debut
        2024-05-17";1;0;0;1 KOs;0 KOs
Jordan Wilkie;heavy;33;USA;1;2;100%;;;;"debut
        2024-09-07";1;0;0;1 KOs;0 KOs
Derrick Durr;heavy;36;USA;4;8;100%;6′ 1″   /   185cm;;orthodox;"debut
        2017-05-27";4;0;0;4 KOs;0 KOs
Kevin Wedhorn;heavy;33;Germany;6;6;100%;6′ 1″   /   186cm;;;"debut
        2017-09-30";1;5;0;1 KOs;5 KOs
Panagiotis Pantazis;heavy;48;Greece;6;10;100%;;;;"debut
        2021-10-16";2;4;0;2 KOs;3 KOs
Victor Benitez;heavy;34;Colombia;6;25;0%;;;;"debut
        2022-10-14";0;6;0;0 KOs;5 KOs
William Bates;heavy;33;USA;1;4;0%;6′ 0″   /   183cm;;orthodox;"debut
        2024-01-20";1;0;0;0 KOs;0 KOs
Victor Eduardo Avila;heavy;34;Mexico;13;44;0%;;;;"debut
        2013-05-30";0;13;0;0 KOs;8 KOs
Sinan Ozsahin;heavy;28;Turkiye;2;6;100%;6′ 1″   /   186cm;;;"debut
        2023-12-17";1;1;0;1 KOs;0 KOs
Spur Roundstone;heavy;33;USA;8;15;100%;;;;"debut
        2022-03-19";1;6;1;1 KOs;6 KOs
Jesus Tomas Gutierrez;heavy;42;Mexico;6;8;0%;;;;"debut
        2013-05-25";0;6;0;0 KOs;6 KOs
Moustapha Ndiaye;heavy;;Senegal;1;4;0%;;;;"debut
        2024-04-06";0;0;1;0 KOs;0 KOs
Johnathan Wiles;heavy;32;USA;7;21;0%;6′ 4″   /   193cm;;orthodox;"debut
        2022-09-23";0;7;0;0 KOs;4 KOs
Eduardo Daniel Mercadal;heavy;41;Uruguay;1;1;100%;;;orthodox;"debut
        2024-05-17";1;0;0;1 KOs;0 KOs
Belmin Pasalic;heavy;28;Bosnia And Herzegovina;13;29;66.67%;;;;"debut
        2016-05-28";3;10;0;2 KOs;9 KOs
Chaiyawut Sitthiwongsa;heavy;25;Thailand;3;13;50%;;;;"debut
        2023-09-02";2;1;0;1 KOs;0 KOs
Borui Zhang;heavy;29;China;3;11;100%;6′ 0″   /   183cm;72″   /   183cm;orthodox;"debut
        2023-12-16";1;2;0;1 KOs;0 KOs
Jozsef Kormany;heavy;27;Hungary;75;294;31.58%;5′ 7½″   /   172cm;;orthodox;"debut
        2014-04-11";19;55;1;6 KOs;32 KOs
Murat Novalic;heavy;27;Bosnia And Herzegovina;22;62;0%;6′ 1″   /   186cm;;;"debut
        2018-10-27";1;21;0;0 KOs;13 KOs
Joseph Joe Hill;heavy;38;USA;10;22;66.67%;6′ 2″   /   188cm;;orthodox;"debut
        2015-02-28";3;7;0;2 KOs;6 KOs
Javier Leyva Duran;heavy;36;Mexico;9;31;0%;;;;"debut
        2022-02-12";1;6;2;0 KOs;4 KOs
Volodymyr Kushnir;heavy;22;Ukraine;3;9;33.33%;;;;"debut
        2023-10-07";3;0;0;1 KOs;0 KOs
Jose Diaz;heavy;28;Colombia;6;25;0%;;;;"debut
        2023-03-12";0;6;0;0 KOs;5 KOs
Ferdinando Pedro Cipriano;heavy;;Angola;4;17;0%;;;;"debut
        2024-01-20";1;2;1;0 KOs;2 KOs
Haris Radmilovic;heavy;42;Bosnia And Herzegovina;60;145;72.73%;;;southpaw;"debut
        2014-10-18";11;48;1;8 KOs;41 KOs
Brandon Johnson;heavy;38;USA;1;1;100%;6′ 0″   /   183cm;;orthodox;"debut
        2023-11-22";1;0;0;1 KOs;0 KOs
Adam Gyorkos;heavy;28;Hungary;27;81;22.22%;6′ 2″   /   188cm;;orthodox;"debut
        2016-04-16";9;17;1;2 KOs;14 KOs
Riad Shikh Kilo;heavy;26;Syria;9;14;0%;6′ 3″   /   190cm;;;"debut
        2021-08-15";0;9;0;0 KOs;8 KOs
Orhan Namli;heavy;35;Turkiye;9;18;0%;;;orthodox;"debut
        2022-06-29";0;9;0;0 KOs;8 KOs
Mads Kristensen;heavy;43;Denmark;2;3;50%;;;;"debut
        2019-11-30";2;0;0;1 KOs;0 KOs
Abraham Emanuel Prado;heavy;35;Argentina;8;29;0%;;;orthodox;"debut
        2017-04-07";0;8;0;0 KOs;2 KOs
Filip Dacevac;heavy;32;Serbia;7;11;0%;6′ 5½″   /   197cm;;;"debut
        2022-05-25";0;7;0;0 KOs;7 KOs
Joe Powers;heavy;41;USA;5;14;100%;;;;"debut
        2013-01-26";2;3;0;2 KOs;2 KOs
John Ashie;heavy;29;Ghana;7;13;0%;;;orthodox;"debut
        2023-03-05";0;7;0;0 KOs;7 KOs
Masayuki Kazawa;heavy;28;Japan;2;4;100%;6′ 1″   /   185cm;;orthodox;"debut
        2023-12-14";2;0;0;2 KOs;0 KOs
Luis Leonardo Medina Castillo;heavy;50;Mexico;6;6;0%;;;;"debut
        2019-02-08";0;6;0;0 KOs;6 KOs
Odell Pantin;heavy;41;USA;2;5;100%;6′ 2″   /   188cm;;;"debut
        2021-02-05";2;0;0;2 KOs;0 KOs
Colby Tierney;heavy;42;USA;2;4;100%;5′ 11″   /   180cm;;orthodox;"debut
        2022-11-23";1;1;0;1 KOs;1 KOs
Demonte Cherry;heavy;28;USA;14;16;100%;5′ 11″   /   180cm;;orthodox;"debut
        2016-05-21";1;13;0;1 KOs;13 KOs
Giorgi Kopadze;heavy;28;Georgia;19;32;100%;;;orthodox;"debut
        2017-05-19";5;13;0;5 KOs;12 KOs
